                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7633,                 1.1484,                 2.1233,                0.98018,                0.95022,                0.98602,                 0.6103,                 2.7882,                 0.9552,                 2.2462,                0.00062,                0.00062,                0.00062
                      2,                 2.8342,                 1.1612,                 2.1315,                0.94757,                0.94428,                0.97734,                0.57052,                 2.9442,                 1.0457,                 2.3307,              0.0012475,              0.0012475,              0.0012475
                      3,                 2.8805,                 1.1712,                 2.1366,                0.96226,                0.95197,                  0.981,                0.58547,                 2.8865,                 1.0512,                 2.2939,              0.0018624,              0.0018624,              0.0018624
                      4,                 2.9675,                 1.2351,                 2.1995,                0.94124,                0.93861,                0.97485,                0.57101,                 2.9264,                  1.076,                 2.3234,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.0229,                  1.464,                 2.2146,                0.96833,                0.93372,                0.97345,                 0.5435,                  3.176,                 1.0602,                 2.4218,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.9473,                 1.2264,                 2.1704,                0.94397,                0.93868,                0.97814,                0.59078,                  2.834,                  1.034,                 2.2793,               0.001901,               0.001901,               0.001901
                      7,                 2.8468,                 1.2144,                 2.1675,                0.95947,                 0.9366,                0.97957,                0.59167,                 2.8605,                 1.0211,                 2.2863,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.8621,                 1.1744,                 2.1488,                0.95928,                0.95051,                0.98015,                0.59115,                 2.8784,                0.98775,                 2.2871,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.8351,                  1.146,                 2.1651,                0.95905,                0.94621,                0.97874,                0.59616,                 2.8608,                0.99604,                 2.2872,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.8397,                 1.1744,                 2.1579,                0.95514,                0.92988,                0.97622,                0.58477,                 2.8397,                 1.0279,                 2.2897,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.8225,                 1.6069,                 2.1324,                0.95488,                0.93522,                0.97823,                0.57401,                 2.9217,                 1.0216,                 2.3302,               0.001802,               0.001802,               0.001802
                     12,                 2.8671,                 1.1696,                 2.1594,                0.96515,                0.93756,                0.97659,                0.59292,                 2.8855,                0.98196,                  2.306,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.8956,                 1.1744,                 2.1733,                0.96438,                0.93756,                0.97567,                0.56732,                 2.9455,                 1.0101,                 2.3309,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.9012,                 1.1743,                 2.1602,                0.95841,                0.95005,                0.97926,                0.59644,                 2.8367,                0.97548,                 2.2748,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.7837,                 1.1201,                 2.1401,                0.96482,                0.94524,                0.98132,                 0.5877,                 2.8349,                0.99554,                  2.298,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.8133,                 1.1276,                  2.151,                0.95187,                0.94998,                0.98016,                0.59326,                 2.8595,                0.99199,                 2.2904,               0.001703,               0.001703,               0.001703
                     17,                 2.8683,                 1.1403,                 2.1432,                0.95786,                0.93276,                0.97567,                0.57434,                 2.9473,                 1.0367,                 2.3209,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.8417,                 1.1394,                 2.1502,                0.96028,                0.94236,                 0.9815,                0.60425,                 2.8256,                0.96934,                 2.2658,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.8474,                  1.141,                 2.1519,                0.96524,                0.96061,                0.98537,                 0.5991,                 2.8808,                0.96607,                 2.2952,              0.0016436,              0.0016436,              0.0016436
                     20,                  2.787,                 1.0991,                  2.121,                0.96994,                0.96094,                0.98633,                0.61295,                 2.7742,                0.93448,                 2.2543,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.7686,                 1.0786,                   2.14,                0.96161,                0.95581,                0.98149,                0.61172,                 2.7727,                  0.962,                 2.2449,               0.001604,               0.001604,               0.001604
                     22,                 2.7327,                 1.0764,                 2.1333,                0.96516,                0.94621,                 0.9802,                0.57483,                 2.9752,                0.98575,                 2.3288,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.8004,                 1.0993,                 2.1204,                0.96958,                0.94922,                0.98323,                 0.5993,                 2.8114,                0.95156,                 2.2881,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.7819,                   1.09,                 2.1378,                0.97012,                0.95869,                0.98837,                0.60951,                  2.795,                0.94238,                 2.2548,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.7569,                 1.0814,                 2.1322,                0.97397,                0.94717,                0.98492,                0.58953,                  2.909,                0.99881,                 2.3263,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.7813,                 1.1009,                  2.128,                0.96827,                0.95293,                 0.9835,                0.60117,                 2.8235,                0.94256,                 2.2772,               0.001505,               0.001505,               0.001505
                     27,                 2.7475,                  1.078,                 2.1011,                0.97146,                0.94816,                0.98483,                0.60275,                 2.8018,                0.94902,                 2.2799,              0.0014852,              0.0014852,              0.0014852
                     28,                  2.757,                 1.0845,                  2.122,                0.96605,                0.95389,                0.98529,                0.60101,                 2.8365,                 0.9487,                 2.2777,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.7628,                 1.0778,                 2.1208,                0.96971,                0.95341,                0.98586,                0.59313,                 2.9295,                0.94464,                  2.311,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.7731,                 1.0937,                 2.1331,                0.96722,                0.96367,                0.98654,                0.60652,                 2.7934,                 0.9261,                 2.2591,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.7178,                 1.0488,                 2.1134,                0.96787,                0.95677,                0.98249,                0.60534,                 2.8026,                0.92107,                 2.2511,               0.001406,               0.001406,               0.001406
                     32,                 2.6968,                 1.0591,                 2.1097,                0.96528,                0.95773,                0.98559,                0.60872,                 2.8623,                 0.9292,                  2.291,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.7801,                 1.0952,                 2.1368,                0.95829,                  0.971,                0.98655,                0.60991,                 2.7986,                 0.9376,                 2.2697,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.7019,                 1.0454,                 2.1067,                 0.9728,                0.96211,                0.98648,                0.60689,                 2.8526,                0.93696,                  2.297,              0.0013466,              0.0013466,              0.0013466
                     35,                  2.707,                 1.0501,                 2.1209,                0.97905,                0.95485,                 0.9865,                0.61332,                 2.7807,                0.91432,                 2.2658,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.6954,                  1.064,                 2.1005,                 0.9606,                 0.9603,                0.98453,                0.60895,                 2.7796,                0.91531,                 2.2533,               0.001307,               0.001307,               0.001307
                     37,                 2.7047,                   1.05,                 2.1039,                 0.9772,                0.94693,                0.98671,                0.61477,                 2.7933,                0.91613,                 2.2521,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.6728,                 1.0348,                 2.0754,                0.97732,                 0.9519,                0.98469,                0.61629,                  2.771,                0.89263,                 2.2437,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.6761,                 1.0376,                 2.0949,                 0.9726,                0.95472,                 0.9855,                 0.6207,                 2.7654,                0.89276,                 2.2534,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.6349,                 1.0285,                 2.0852,                0.96931,                0.95293,                0.98619,                0.61404,                 2.7871,                 0.9206,                 2.2608,              0.0012278,              0.0012278,              0.0012278
                     41,                  2.617,                  1.018,                 2.0717,                0.97354,                0.95485,                0.98654,                0.61431,                  2.759,                 0.9097,                 2.2553,               0.001208,               0.001208,               0.001208
                     42,                 2.6563,                 1.0341,                 2.1143,                0.96485,                0.94929,                 0.9849,                0.60651,                 2.8053,                0.93368,                 2.2754,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.7216,                 1.0543,                 2.0922,                 0.9707,                0.94621,                0.98743,                0.60227,                 2.7783,                0.93495,                 2.2648,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.6752,                 1.0294,                 2.1127,                0.97353,                0.95402,                0.98808,                0.60977,                  2.824,                 0.9205,                  2.269,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.6733,                 1.0496,                   2.08,                0.96488,                0.95389,                0.98651,                0.61459,                 2.7676,                0.91091,                 2.2595,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.6497,                   1.02,                 2.1031,                0.96132,                 0.9635,                0.98539,                0.59231,                 2.8417,                 0.9436,                 2.2966,               0.001109,               0.001109,               0.001109
                     47,                 2.6262,                   1.01,                 2.1029,                0.96619,                 0.9608,                0.98668,                0.60443,                 2.8094,                0.92002,                 2.2883,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.5974,                 1.0036,                 2.0555,                0.98128,                0.95661,                0.99012,                0.61015,                 2.8168,                0.88846,                 2.2782,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.6598,                 1.0255,                 2.0726,                0.97193,                0.96449,                0.98896,                0.61614,                 2.7758,                0.89247,                  2.262,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.6395,                 1.0317,                 2.0825,                0.97368,                0.95952,                0.98733,                0.61952,                 2.7682,                0.88083,                 2.2505,              0.0010298,              0.0010298,              0.0010298
                     51,                  2.632,                 1.0233,                  2.112,                0.96066,                0.95101,                0.98691,                0.61044,                 2.8131,                0.91716,                 2.2741,                0.00101,                0.00101,                0.00101
                     52,                 2.6292,                 1.0158,                 2.0709,                 0.9756,                0.96004,                0.98948,                0.61845,                 2.7603,                0.89627,                 2.2595,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.6094,                 1.0029,                 2.0747,                0.98503,                0.94831,                0.98891,                0.61997,                  2.757,                0.89239,                  2.254,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.5882,                0.98951,                 2.0735,                0.97944,                0.96061,                0.98907,                0.61498,                 2.7857,                0.89951,                 2.2619,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.6766,                 1.0491,                 2.1608,                0.96896,                0.96254,                0.98786,                0.60717,                 2.8045,                0.91099,                 2.2697,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.6623,                 1.0122,                 2.0839,                0.96341,                0.96108,                0.98731,                0.61547,                 2.7985,                0.90817,                 2.2643,               0.000911,               0.000911,               0.000911
                     57,                 2.6773,                 1.0181,                 2.0815,                0.96601,                0.95101,                0.98743,                0.60841,                 2.8536,                 0.9007,                 2.2822,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.6204,                 1.0013,                 2.0798,                0.96803,                0.95677,                0.99032,                0.61869,                 2.7941,                0.88504,                 2.2585,              0.0008714,              0.0008714,              0.0008714
                     59,                    2.6,                 1.0142,                 2.0375,                0.97022,                0.97004,                0.98869,                0.61968,                 2.7612,                0.88467,                 2.2514,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.4831,                0.95422,                 2.0498,                0.96643,                0.96792,                0.98917,                0.60514,                 2.8007,                0.90953,                 2.2797,              0.0008318,              0.0008318,              0.0008318
                     61,                  2.553,                 0.9807,                 2.0421,                0.97006,                0.96472,                0.98914,                0.61094,                 2.7588,                0.89525,                  2.256,               0.000812,               0.000812,               0.000812
