                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3065,                0.88499,                 1.9789,                 0.9803,                 0.9635,                0.99074,                0.61319,                 2.8429,                0.86991,                 2.3133,             0.00065608,             0.00065608,             0.00065608
                      2,                 2.3051,                0.88583,                 1.9749,                0.97878,                 0.9635,                 0.9894,                0.61056,                 2.8684,                 0.8902,                 2.3328,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.3498,                0.89443,                 1.9995,                0.97227,                0.97689,                0.99084,                0.60604,                 2.8772,                0.91056,                 2.3529,              0.0019697,              0.0019697,              0.0019697
                      4,                 2.3791,                0.91036,                 2.0104,                0.97278,                0.97118,                 0.9896,                0.60545,                 2.8851,                0.90541,                 2.3281,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.4318,                0.92566,                 2.0048,                0.97234,                0.97916,                 0.9903,                0.59531,                 2.9089,                 0.8926,                  2.339,              0.0019604,              0.0019604,              0.0019604
                      6,                  2.383,                0.91242,                 1.9937,                0.97401,                0.97191,                 0.9907,                0.60798,                 2.8832,                0.89847,                  2.349,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.3904,                 0.9093,                 2.0087,                0.97069,                0.96446,                0.98946,                0.61249,                 2.8384,                0.88411,                 2.3133,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.3949,                0.92282,                 2.0111,                0.97825,                0.95039,                0.98852,                0.59985,                 2.8973,                0.90398,                 2.3266,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.3708,                0.90633,                 1.9892,                0.97763,                0.96061,                0.98913,                0.60713,                 2.8845,                0.90313,                 2.3426,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.3954,                0.91825,                 1.9983,                0.97499,                0.97022,                0.99099,                0.60231,                 2.8922,                0.89708,                 2.3451,              0.0019109,              0.0019109,              0.0019109
                     11,                  2.403,                0.92305,                 2.0053,                0.97406,                0.97393,                0.98911,                0.60123,                 2.8667,                0.89504,                 2.3276,               0.001901,               0.001901,               0.001901
                     12,                 2.3967,                0.92141,                 2.0017,                0.97395,                0.97983,                0.99003,                0.61441,                 2.8492,                0.88283,                 2.3141,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.3725,                 0.9314,                 2.0041,                0.97373,                 0.9731,                0.98981,                0.60495,                 2.8785,                0.91364,                 2.3303,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.3524,                0.89563,                 1.9852,                0.96872,                0.96542,                0.98776,                0.59331,                 2.9545,                0.91005,                 2.3693,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.3769,                0.90934,                 2.0043,                0.98053,                0.96768,                 0.9902,                0.61331,                 2.8945,                0.89021,                 2.3287,              0.0018614,              0.0018614,              0.0018614
                     16,                  2.415,                0.92913,                 2.0128,                0.96477,                0.97328,                 0.9892,                0.61007,                 2.8727,                 0.8874,                 2.3253,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.3947,                0.91488,                 2.0126,                0.97282,                0.96734,                 0.9905,                0.60379,                 2.8766,                0.88425,                 2.3317,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.4317,                0.92967,                 1.9935,                0.98034,                0.95803,                0.98972,                0.60278,                 2.8585,                0.89967,                 2.3144,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.3928,                0.91673,                 1.9883,                0.97478,                0.96545,                0.98953,                 0.6054,                 2.8616,                0.87373,                 2.3264,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.3807,                0.91883,                 1.9945,                0.96924,                0.96865,                0.98841,                0.59961,                  2.923,                0.89442,                 2.3552,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.3641,                0.90394,                 1.9975,                0.98032,                 0.9731,                0.99037,                0.61175,                 2.8519,                0.86475,                 2.3233,               0.001802,               0.001802,               0.001802
                     22,                 2.3712,                0.90634,                 2.0013,                0.97269,                0.95814,                 0.9888,                0.59545,                 2.9135,                0.88791,                 2.3428,              0.0017921,              0.0017921,              0.0017921
                     23,                  2.345,                0.88399,                 2.0146,                0.97471,                0.97406,                0.98401,                 0.5991,                 2.9037,                0.88633,                 2.3513,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.3396,                0.89192,                 1.9904,                0.97964,                0.97084,                0.99087,                 0.6099,                 2.8774,                0.86546,                 2.3214,              0.0017723,              0.0017723,              0.0017723
                     25,                 2.2949,                0.87928,                 1.9748,                0.98253,                0.97273,                0.99097,                0.60739,                 2.8349,                0.86685,                 2.3215,              0.0017624,              0.0017624,              0.0017624
                     26,                 2.3871,                0.90871,                 2.0048,                0.97698,                0.96542,                0.98913,                0.60182,                 2.8763,                 0.8929,                 2.3247,              0.0017525,              0.0017525,              0.0017525
                     27,                  2.288,                0.86468,                 1.9896,                0.98131,                 0.9635,                0.98878,                0.61012,                 2.8564,                0.88032,                 2.3404,              0.0017426,              0.0017426,              0.0017426
                     28,                 2.3327,                0.89323,                 1.9905,                0.97953,                0.96538,                0.99028,                0.61152,                 2.8787,                0.88455,                 2.3325,              0.0017327,              0.0017327,              0.0017327
                     29,                 2.3695,                 1.0683,                 1.9967,                0.97506,                0.97641,                0.99034,                0.61169,                 2.8538,                0.86611,                 2.3144,              0.0017228,              0.0017228,              0.0017228
                     30,                 2.2958,                 0.8802,                 1.9871,                 0.9716,                0.96926,                0.98878,                0.60837,                 2.8726,                0.86105,                 2.3293,              0.0017129,              0.0017129,              0.0017129
                     31,                 2.3379,                0.88635,                 2.0123,                0.98198,                 0.9731,                0.98994,                0.60993,                 2.8453,                0.86893,                 2.3231,               0.001703,               0.001703,               0.001703
                     32,                 2.3419,                0.89106,                 1.9872,                0.97686,                 0.9731,                0.98933,                0.59741,                 2.9084,                0.89764,                 2.3514,              0.0016931,              0.0016931,              0.0016931
                     33,                 2.3426,                0.94112,                 1.9967,                0.98005,                0.97022,                0.98972,                0.60481,                 2.8651,                0.87711,                  2.326,              0.0016832,              0.0016832,              0.0016832
                     34,                 2.3657,                0.90873,                 1.9939,                0.96552,                0.96849,                0.98829,                0.60105,                  2.901,                0.89428,                 2.3463,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.2828,                0.87015,                 1.9591,                0.97596,                0.97516,                0.99017,                 0.6067,                 2.8889,                0.88017,                 2.3498,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.3315,                0.89081,                 1.9916,                0.98059,                0.96734,                0.98962,                0.60965,                 2.8889,                0.87015,                 2.3331,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.3387,                0.89462,                 1.9831,                0.98245,                0.96811,                0.99026,                0.60194,                 2.8931,                0.87712,                 2.3256,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.3191,                0.88791,                  1.978,                0.97612,                0.97598,                0.98947,                0.60298,                 2.8881,                 0.8757,                 2.3407,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.2999,                0.87055,                 1.9663,                0.98246,                0.96852,                0.98884,                0.60644,                 2.8775,                0.87794,                 2.3392,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.3032,                0.88099,                 1.9733,                0.98097,                0.96926,                   0.99,                0.60357,                 2.8958,                0.89821,                 2.3573,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.3391,                 0.8943,                 1.9948,                0.97888,                0.97791,                0.99089,                0.61374,                 2.8544,                0.85813,                 2.3303,               0.001604,               0.001604,               0.001604
                     42,                 2.3384,                 0.9088,                 1.9573,                0.97863,                0.96793,                0.98865,                0.61201,                 2.8501,                0.86774,                 2.3303,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.3162,                0.88701,                 1.9999,                0.97679,                0.97018,                0.98948,                0.60438,                 2.8817,                0.87133,                  2.347,              0.0015842,              0.0015842,              0.0015842
                     44,                 2.3022,                0.88028,                 1.9718,                0.97964,                0.97502,                0.99135,                0.61605,                 2.8424,                0.86634,                 2.3196,              0.0015743,              0.0015743,              0.0015743
                     45,                 2.2862,                0.88083,                 1.9765,                0.97761,                0.96471,                0.99048,                0.60965,                 2.8725,                0.87353,                 2.3392,              0.0015644,              0.0015644,              0.0015644
                     46,                 2.2874,                 0.8757,                 1.9825,                0.97659,                0.96734,                0.99027,                 0.6098,                  2.869,                0.88118,                 2.3416,              0.0015545,              0.0015545,              0.0015545
                     47,                 2.2708,                0.90688,                 1.9916,                 0.9787,                0.95869,                 0.9886,                0.60383,                 2.9173,                0.89233,                  2.355,              0.0015446,              0.0015446,              0.0015446
                     48,                 2.3455,                0.90344,                 1.9879,                0.97105,                0.96666,                0.98747,                0.60073,                 2.8734,                0.89442,                 2.3499,              0.0015347,              0.0015347,              0.0015347
                     49,                 2.3102,                0.88528,                 1.9695,                0.96847,                0.97502,                0.98702,                0.60638,                 2.8732,                0.88972,                 2.3413,              0.0015248,              0.0015248,              0.0015248
                     50,                 2.3135,                0.89129,                 1.9554,                0.98341,                0.97022,                 0.9892,                0.61132,                  2.858,                0.86714,                 2.3277,              0.0015149,              0.0015149,              0.0015149
                     51,                 2.2955,                 0.8872,                  1.968,                0.97497,                0.97305,                0.98946,                0.61179,                 2.8654,                0.88414,                 2.3335,               0.001505,               0.001505,               0.001505
                     52,                 2.3101,                0.88042,                 1.9742,                0.98055,                0.96881,                 0.9894,                0.61249,                 2.8462,                0.87718,                 2.3236,              0.0014951,              0.0014951,              0.0014951
                     53,                 2.2744,                0.86651,                 1.9902,                0.97312,                0.97359,                0.98905,                0.60681,                  2.867,                0.87376,                 2.3359,              0.0014852,              0.0014852,              0.0014852
                     54,                 2.2438,                0.86123,                 1.9606,                0.97303,                0.97502,                0.99016,                0.61461,                  2.847,                0.86667,                 2.3265,              0.0014753,              0.0014753,              0.0014753
                     55,                 2.2854,                0.86798,                 1.9709,                  0.974,                0.97181,                0.98964,                0.61762,                 2.8445,                0.86168,                 2.3287,              0.0014654,              0.0014654,              0.0014654
                     56,                 2.1905,                0.83855,                 1.9524,                0.98913,                0.96118,                0.99063,                0.61555,                 2.8415,                0.85373,                 2.3191,              0.0014555,              0.0014555,              0.0014555
                     57,                 2.2902,                 1.0403,                 1.9851,                0.97866,                0.96899,                0.98801,                0.60478,                 2.8954,                0.86921,                 2.3571,              0.0014456,              0.0014456,              0.0014456
                     58,                 2.2651,                0.87941,                 1.9602,                0.96892,                0.96926,                0.98764,                0.60347,                 2.9192,                0.87256,                 2.3493,              0.0014357,              0.0014357,              0.0014357
                     59,                 2.2382,                0.85731,                 1.9669,                0.96931,                0.97214,                0.98663,                0.59693,                 2.9045,                0.89617,                 2.3744,              0.0014258,              0.0014258,              0.0014258
                     60,                 2.2593,                0.86773,                 1.9661,                 0.9777,                0.96867,                0.99064,                0.61446,                 2.8585,                0.87017,                 2.3367,              0.0014159,              0.0014159,              0.0014159
                     61,                 2.2842,                 0.8795,                 1.9677,                0.98155,                0.97108,                0.99028,                0.60799,                 2.8616,                0.86966,                 2.3373,               0.001406,               0.001406,               0.001406
                     62,                 2.2652,                0.86605,                  1.985,                0.97499,                0.97383,                0.99069,                0.61242,                 2.8591,                0.86559,                 2.3404,              0.0013961,              0.0013961,              0.0013961
                     63,                 2.2316,                0.86282,                  1.946,                0.97923,                0.96734,                0.98836,                0.61051,                 2.8604,                0.87626,                 2.3422,              0.0013862,              0.0013862,              0.0013862
                     64,                  2.232,                0.85454,                 1.9713,                0.96837,                0.97067,                0.98868,                0.61078,                  2.862,                0.86064,                 2.3406,              0.0013763,              0.0013763,              0.0013763
