epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2452,3.36181,4.47619,2.25767,0.55632,0.63016,0.62943,0.36464,2.99474,2.86583,2.04673,0.000661333,0.000661333,0.000661333
2,77.583,3.29681,2.57886,2.26662,0.6633,0.72046,0.71737,0.39189,2.83235,2.75501,2.15574,0.00131485,0.00131485,0.00131485
3,98.4254,3.15877,2.36574,2.21922,0.73138,0.74352,0.80643,0.45661,2.89901,2.09753,2.14863,0.00195517,0.00195517,0.00195517
4,119.291,3.16393,2.11947,2.25422,0.7521,0.79273,0.85472,0.48108,2.8297,1.92208,2.20203,0.0019406,0.0019406,0.0019406
5,140.335,3.2672,2.06654,2.26477,0.74172,0.79451,0.8294,0.44267,2.97528,2.08824,2.2621,0.0019208,0.0019208,0.0019208
6,161.215,3.18516,2.03681,2.27661,0.82629,0.81172,0.88917,0.51428,2.83864,1.70331,2.20319,0.001901,0.001901,0.001901
7,181.957,3.10546,1.90189,2.24267,0.82909,0.83862,0.90644,0.52091,2.80448,1.61972,2.21635,0.0018812,0.0018812,0.0018812
8,202.709,3.09811,1.75956,2.23994,0.85273,0.85207,0.922,0.5441,2.79561,1.47722,2.20408,0.0018614,0.0018614,0.0018614
9,223.802,3.05408,1.65049,2.22876,0.84821,0.86263,0.93328,0.53758,2.83292,1.3637,2.24912,0.0018416,0.0018416,0.0018416
10,244.513,2.99805,1.58306,2.22885,0.89861,0.87128,0.93824,0.5486,2.84301,1.27836,2.27044,0.0018218,0.0018218,0.0018218
11,265.333,3.04548,1.54697,2.24728,0.90521,0.89903,0.9559,0.55763,2.85951,1.21097,2.29653,0.001802,0.001802,0.001802
12,286.074,3.05536,1.51962,2.23725,0.91127,0.88953,0.95397,0.55178,2.85971,1.20237,2.28929,0.0017822,0.0017822,0.0017822
13,306.733,3.04411,1.51692,2.24963,0.91463,0.90202,0.95923,0.57687,2.79178,1.17375,2.25346,0.0017624,0.0017624,0.0017624
14,327.526,2.99676,1.47861,2.25243,0.93164,0.89049,0.95991,0.56618,2.84108,1.15815,2.26724,0.0017426,0.0017426,0.0017426
15,348.298,2.99771,1.43772,2.23629,0.93522,0.90142,0.96362,0.56669,2.82442,1.14167,2.27988,0.0017228,0.0017228,0.0017228
16,369.325,3.01286,1.42627,2.23208,0.94442,0.9049,0.96805,0.58373,2.8126,1.10128,2.27457,0.001703,0.001703,0.001703
17,390.28,3.04083,1.42189,2.24843,0.92832,0.92027,0.97232,0.57531,2.82584,1.0898,2.27092,0.0016832,0.0016832,0.0016832
18,411.169,3.07331,1.40939,2.24962,0.94057,0.92123,0.96905,0.56394,2.86002,1.09223,2.29132,0.0016634,0.0016634,0.0016634
19,431.94,2.98885,1.3582,2.21883,0.93107,0.92699,0.97205,0.57454,2.83174,1.07107,2.27271,0.0016436,0.0016436,0.0016436
20,452.649,2.9306,1.3137,2.20867,0.9522,0.92315,0.97416,0.5878,2.75292,1.0235,2.25273,0.0016238,0.0016238,0.0016238
21,473.583,2.9433,1.30835,2.20367,0.944,0.93084,0.97756,0.58282,2.7958,1.03645,2.2608,0.001604,0.001604,0.001604
22,494.489,2.96381,1.31596,2.2387,0.9518,0.91835,0.97451,0.57549,2.78037,1.04629,2.25756,0.0015842,0.0015842,0.0015842
23,515.173,2.94072,1.31272,2.23886,0.95746,0.93756,0.97981,0.60242,2.78762,1.00132,2.24487,0.0015644,0.0015644,0.0015644
24,536.17,2.9141,1.27679,2.20313,0.94681,0.92988,0.97773,0.59273,2.79267,0.995,2.26341,0.0015446,0.0015446,0.0015446
25,556.953,2.8767,1.22788,2.20528,0.94135,0.94524,0.9774,0.58099,2.86476,1.02356,2.27341,0.0015248,0.0015248,0.0015248
26,577.619,2.91264,1.23558,2.21067,0.94407,0.94428,0.97791,0.58555,2.80941,0.98169,2.25937,0.001505,0.001505,0.001505
27,598.35,2.85984,1.21899,2.20414,0.95698,0.94025,0.97786,0.59557,2.7626,0.97667,2.2472,0.0014852,0.0014852,0.0014852
28,619.021,2.89116,1.23208,2.20635,0.95657,0.9414,0.97872,0.60189,2.78154,0.99046,2.25644,0.0014654,0.0014654,0.0014654
29,639.811,2.89836,1.23167,2.20145,0.9437,0.95101,0.97667,0.59008,2.78703,1.00496,2.24841,0.0014456,0.0014456,0.0014456
30,660.51,2.88158,1.21456,2.20129,0.95832,0.94965,0.98113,0.5992,2.82468,0.97301,2.25253,0.0014258,0.0014258,0.0014258
31,681.08,2.90611,1.20665,2.21435,0.95268,0.94761,0.97842,0.58179,2.8354,0.97076,2.27426,0.001406,0.001406,0.001406
32,701.648,2.87658,1.17985,2.20543,0.95262,0.94641,0.98195,0.5985,2.79354,0.95216,2.24761,0.0013862,0.0013862,0.0013862
33,722.526,2.86502,1.19192,2.17607,0.95343,0.94399,0.98114,0.60073,2.75858,0.96243,2.24161,0.0013664,0.0013664,0.0013664
34,743.043,2.91182,1.1984,2.20175,0.95616,0.9429,0.97765,0.59303,2.77532,0.98567,2.23805,0.0013466,0.0013466,0.0013466
35,763.696,2.82687,1.1724,2.17823,0.95855,0.93299,0.97574,0.60364,2.77524,0.96295,2.2583,0.0013268,0.0013268,0.0013268
36,784.338,2.8365,1.17027,2.19061,0.96586,0.94332,0.97917,0.59974,2.78989,0.9481,2.25485,0.001307,0.001307,0.001307
37,805.313,2.83264,1.16398,2.15606,0.94468,0.95137,0.98148,0.60138,2.76089,0.95351,2.24499,0.0012872,0.0012872,0.0012872
38,826.311,2.83484,1.16498,2.17205,0.96479,0.95773,0.98373,0.59365,2.80364,0.95539,2.27264,0.0012674,0.0012674,0.0012674
39,847.209,2.81579,1.13819,2.16981,0.94992,0.95197,0.98419,0.60571,2.73725,0.93436,2.23617,0.0012476,0.0012476,0.0012476
40,867.84,2.80557,1.15316,2.18316,0.95355,0.96158,0.98255,0.60271,2.795,0.93597,2.24959,0.0012278,0.0012278,0.0012278
41,888.666,2.79889,1.1464,2.17599,0.96574,0.94779,0.97971,0.60289,2.79856,0.94064,2.25988,0.001208,0.001208,0.001208
42,909.601,2.8055,1.12821,2.13425,0.9644,0.95101,0.98372,0.60086,2.79425,0.93495,2.2483,0.0011882,0.0011882,0.0011882
43,930.413,2.8253,1.14893,2.19593,0.96492,0.95132,0.98484,0.61104,2.7405,0.91443,2.24264,0.0011684,0.0011684,0.0011684
44,951.541,2.80186,1.11959,2.16871,0.96675,0.94973,0.98076,0.59414,2.78176,0.93506,2.25708,0.0011486,0.0011486,0.0011486
45,972.448,2.78114,1.12774,2.172,0.96521,0.95005,0.98266,0.60105,2.80014,0.93016,2.25516,0.0011288,0.0011288,0.0011288
46,993.151,2.75735,1.10405,2.16406,0.95975,0.95485,0.98133,0.60202,2.76049,0.93204,2.2456,0.001109,0.001109,0.001109
47,1014.14,2.78959,1.12562,2.17754,0.97717,0.94557,0.98599,0.60045,2.86043,0.92272,2.29723,0.0010892,0.0010892,0.0010892
48,1035.06,2.83462,1.12054,2.1617,0.96843,0.94813,0.98174,0.60178,2.80695,0.92499,2.26849,0.0010694,0.0010694,0.0010694
49,1055.88,2.79574,1.11736,2.15558,0.97185,0.96176,0.98573,0.60958,2.79064,0.89784,2.25409,0.0010496,0.0010496,0.0010496
50,1077.17,2.77144,1.11412,2.15768,0.96205,0.94963,0.9798,0.59455,2.81264,0.93777,2.27419,0.0010298,0.0010298,0.0010298
51,1098.23,2.76632,1.10804,2.14596,0.96709,0.9597,0.98428,0.61254,2.77218,0.90015,2.24026,0.00101,0.00101,0.00101
52,1119.05,2.74208,1.08936,2.15761,0.96572,0.9471,0.98182,0.61063,2.78127,0.91517,2.25651,0.0009902,0.0009902,0.0009902
53,1140.03,2.74438,1.10009,2.15428,0.97159,0.95282,0.98472,0.61397,2.76606,0.90917,2.25109,0.0009704,0.0009704,0.0009704
54,1160.95,2.74994,1.09011,2.14016,0.9607,0.94813,0.9832,0.60643,2.74643,0.91726,2.24335,0.0009506,0.0009506,0.0009506
55,1181.63,2.73625,1.07526,2.134,0.96794,0.95706,0.98225,0.60693,2.79227,0.91088,2.25604,0.0009308,0.0009308,0.0009308
56,1202.64,2.70884,1.06183,2.16208,0.97008,0.94524,0.98146,0.61169,2.74659,0.9113,2.24044,0.000911,0.000911,0.000911
57,1223.65,2.72665,1.08035,2.11514,0.97654,0.95947,0.98582,0.61432,2.74806,0.89382,2.24146,0.0008912,0.0008912,0.0008912
58,1244.36,2.71965,1.07047,2.1367,0.96683,0.95677,0.98427,0.60169,2.82411,0.91498,2.266,0.0008714,0.0008714,0.0008714
59,1265.11,2.69688,1.06833,2.13936,0.97169,0.95389,0.98506,0.61644,2.76088,0.88927,2.24346,0.0008516,0.0008516,0.0008516
