                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9163,                 6.4264,                  2.547,                0.03144,                0.27185,                0.14195,                0.05275,                 2.8894,                 6.3066,                 2.0947,                 0.0003,                 0.0003,                 0.0003
                      2,                 3.2532,                  3.737,                 2.0967,                0.00989,                0.08549,                 0.0523,                 0.0215,                 4.2091,                  6.399,                 2.5555,             0.00060772,             0.00060772,             0.00060772
                      3,                  3.225,                 2.4354,                 2.1643,                0.01744,                0.15082,                0.01054,                0.00381,                 5.2533,                  5.516,                 3.1421,             0.00090278,             0.00090278,             0.00090278
                      4,                 3.1658,                 2.1788,                 2.1738,                0.07456,                0.64457,                0.53606,                0.29015,                  3.111,                 4.4501,                  2.187,              0.0011852,              0.0011852,              0.0011852
                      5,                  3.086,                 2.0144,                 2.1543,                0.93144,                0.20461,                0.60476,                0.33083,                 2.8868,                 3.9027,                 2.1144,              0.0014549,              0.0014549,              0.0014549
                      6,                 3.1239,                 1.9491,                 2.1736,                0.90544,                0.26675,                0.78288,                 0.4431,                 2.8394,                 3.1323,                 2.2134,              0.0017119,              0.0017119,              0.0017119
                      7,                 3.2407,                 1.9814,                 2.2012,                0.88178,                0.68784,                0.85867,                0.45519,                 3.0968,                 2.3278,                 2.2541,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.1313,                 1.7892,                 2.1654,                0.80545,                0.73967,                0.85958,                0.46938,                 3.0272,                 2.1305,                 2.2806,              0.0017228,              0.0017228,              0.0017228
                      9,                  3.064,                 1.7159,                 2.1775,                0.85237,                0.78194,                 0.8969,                0.50724,                 2.9168,                 1.8867,                 2.2143,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.0818,                 1.6755,                 2.1689,                0.81865,                0.83573,                0.90594,                0.51491,                 2.9445,                 1.6073,                  2.274,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.0255,                 1.6231,                 2.1607,                0.82292,                0.80799,                0.90477,                0.51837,                 2.8879,                 1.4792,                 2.2603,               0.001604,               0.001604,               0.001604
                     12,                 3.0267,                 1.5789,                 2.1518,                0.85545,                0.86647,                0.93476,                0.53584,                 2.9368,                 1.4183,                  2.301,              0.0015644,              0.0015644,              0.0015644
                     13,                 3.0043,                 1.5283,                 2.1721,                0.85851,                 0.8568,                0.93017,                0.53225,                  2.881,                 1.3898,                 2.2589,              0.0015248,              0.0015248,              0.0015248
                     14,                 3.0231,                  1.503,                 2.1697,                0.88666,                0.87416,                0.94809,                0.54242,                 2.9324,                 1.2742,                 2.3189,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.9843,                 1.4579,                 2.1804,                0.88613,                0.88857,                0.95068,                0.55174,                 2.8776,                 1.2649,                 2.2637,              0.0014456,              0.0014456,              0.0014456
                     16,                 3.0086,                 1.4555,                 2.1812,                0.87304,                0.89529,                0.94584,                0.55402,                 2.8378,                  1.243,                 2.2542,               0.001406,               0.001406,               0.001406
                     17,                 3.0046,                 1.4395,                 2.1638,                0.87522,                0.90682,                0.94962,                0.52469,                  3.025,                 1.2769,                 2.3792,              0.0013664,              0.0013664,              0.0013664
                     18,                 3.0748,                 1.4448,                  2.195,                0.89545,                0.88852,                0.95464,                0.56396,                 2.7945,                 1.2134,                 2.2377,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.9423,                 1.3835,                 2.1616,                 0.9131,                0.90202,                0.95894,                0.56366,                 2.8529,                 1.1498,                 2.2776,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.9995,                  1.362,                 2.1748,                0.89529,                0.89817,                0.94163,                0.52506,                 2.9797,                  1.207,                 2.3389,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.9142,                 1.3523,                 2.1482,                0.93875,                0.89807,                0.96638,                0.58472,                 2.7989,                 1.1105,                 2.2528,               0.001208,               0.001208,               0.001208
                     22,                 2.9442,                 1.3329,                  2.171,                0.93921,                0.90527,                0.96943,                0.58072,                 2.8484,                 1.1025,                 2.2814,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.9478,                 1.3431,                 2.1562,                 0.9315,                0.90134,                0.96216,                0.55175,                 2.9646,                 1.1296,                 2.3407,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.9855,                 1.3415,                 2.1957,                0.94226,                0.89817,                 0.9665,                0.56633,                 2.8464,                 1.1191,                 2.2843,              0.0010892,              0.0010892,              0.0010892
                     25,                 2.9439,                 1.2965,                 2.1463,                0.94555,                0.91749,                0.97427,                0.58403,                 2.7998,                 1.0684,                 2.2537,              0.0010496,              0.0010496,              0.0010496
                     26,                 2.8685,                 1.2671,                 2.1707,                0.93959,                0.92627,                0.97241,                0.57567,                 2.8524,                 1.0616,                 2.2802,                0.00101,                0.00101,                0.00101
                     27,                 2.8852,                 1.2475,                 2.1568,                 0.9329,                0.93484,                0.97449,                0.58401,                 2.8392,                  1.041,                 2.2732,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.8907,                 1.2522,                 2.1336,                0.94785,                0.92507,                0.97402,                0.57897,                 2.9051,                 1.0373,                 2.2994,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.9453,                 1.2732,                 2.1717,                0.95116,                 0.9318,                 0.9811,                0.58259,                 2.8465,                   1.05,                 2.2768,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.8923,                 1.2331,                 2.1459,                0.93539,                 0.9414,                0.97399,                 0.5829,                 2.8483,                 1.0409,                 2.2762,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.8632,                 1.2204,                 2.1322,                0.94428,                0.92795,                0.98009,                0.58723,                 2.8197,                 1.0293,                 2.2676,               0.000812,               0.000812,               0.000812
