                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.689,                 5.5081,                 2.4038,                  0.044,                 0.3804,                0.24379,                0.06771,                 2.9462,                 5.9765,                 2.0804,                0.00062,                0.00062,                0.00062
                      2,                 3.3482,                 2.7396,                 2.1878,                0.07978,                0.68972,                0.45783,                0.23464,                 3.2491,                  4.765,                 2.1725,              0.0012351,              0.0012351,              0.0012351
                      3,                 3.2614,                 2.3411,                 2.2155,                0.81068,                0.44861,                0.68764,                0.37047,                 3.3564,                  2.851,                 2.3149,              0.0018248,              0.0018248,              0.0018248
                      4,                 3.2964,                 2.2518,                 2.2453,                0.80116,                0.60903,                0.76445,                0.41878,                  3.227,                 2.4581,                 2.3131,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.3169,                  2.455,                 2.2479,                0.76775,                0.73037,                0.81885,                0.41273,                   3.27,                 2.1605,                 2.3695,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.1505,                 1.9889,                 2.1905,                0.77933,                0.75993,                0.86399,                0.49307,                 2.8863,                 1.7529,                 2.2458,               0.001802,               0.001802,               0.001802
                      7,                 3.0704,                 1.9088,                 2.1966,                0.78244,                0.81186,                0.87824,                0.50115,                 2.8638,                 1.7419,                 2.2461,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.1063,                 1.7977,                   2.19,                  0.827,                0.79923,                0.89687,                0.49745,                 2.9637,                 1.5492,                 2.2447,              0.0017228,              0.0017228,              0.0017228
                      9,                  3.071,                 1.6957,                 2.2073,                0.84436,                0.84822,                0.91897,                   0.53,                 2.8241,                 1.5024,                  2.226,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.0327,                 1.6863,                  2.182,                0.88202,                0.86455,                0.93684,                0.55276,                 2.8136,                 1.3325,                 2.2302,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.0829,                 2.5433,                 2.1844,                0.87952,                0.84854,                 0.9339,                0.53577,                 2.9135,                 1.4249,                 2.2397,               0.001604,               0.001604,               0.001604
                     12,                 3.0781,                 1.6442,                 2.2114,                0.89199,                0.84881,                0.93556,                0.53482,                 2.9127,                 1.3487,                 2.3224,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.9997,                 1.5449,                 2.1881,                0.91073,                0.86744,                0.95151,                  0.555,                 2.8377,                 1.2809,                 2.2705,              0.0015248,              0.0015248,              0.0015248
                     14,                 3.0512,                 1.5137,                 2.1924,                0.90407,                0.86905,                0.95244,                0.55373,                 2.8713,                 1.2366,                 2.2846,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.9859,                 1.4622,                 2.1927,                 0.8961,                0.89473,                0.94922,                0.52926,                 2.9924,                 1.2444,                 2.3403,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.9992,                 1.4572,                 2.2006,                0.90644,                 0.9001,                0.95982,                 0.5571,                 2.8763,                 1.2404,                 2.2864,               0.001406,               0.001406,               0.001406
                     17,                 2.9812,                 1.4167,                  2.163,                0.91457,                0.89817,                0.96182,                0.54739,                 2.9446,                 1.2188,                 2.3279,              0.0013664,              0.0013664,              0.0013664
                     18,                 3.0426,                 1.4326,                 2.2019,                0.89795,                 0.9097,                0.96059,                0.56964,                 2.8421,                 1.1605,                 2.2694,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.9763,                 1.4016,                 2.1792,                0.93413,                0.92641,                0.97114,                0.58051,                  2.818,                 1.1269,                 2.2557,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.9437,                   1.36,                 2.1585,                0.92395,                0.92198,                0.97077,                0.58076,                 2.8167,                 1.1416,                 2.2685,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.8965,                 1.3092,                 2.1704,                0.94257,                0.91835,                0.97213,                0.58936,                 2.7919,                 1.0848,                 2.2553,               0.001208,               0.001208,               0.001208
                     22,                 2.8743,                 1.2892,                 2.1725,                0.92525,                0.93564,                0.97224,                0.57526,                 2.9191,                  1.084,                 2.2916,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.9175,                  1.293,                 2.1586,                0.92713,                0.94103,                 0.9753,                0.59408,                 2.7767,                 1.0423,                 2.2504,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.8944,                 1.2695,                 2.1647,                0.93431,                0.94269,                 0.9764,                0.59703,                 2.7596,                 1.0482,                 2.2431,              0.0010892,              0.0010892,              0.0010892
                     25,                 2.8618,                 1.2522,                 2.1626,                0.93852,                 0.9318,                0.97138,                0.57593,                 2.8717,                 1.1003,                 2.3039,              0.0010496,              0.0010496,              0.0010496
                     26,                 2.9164,                 1.2801,                  2.169,                0.96018,                0.92603,                 0.9753,                0.58933,                 2.8462,                 1.0301,                 2.2653,                0.00101,                0.00101,                0.00101
                     27,                 2.8554,                 1.2222,                 2.1333,                0.94399,                0.92988,                0.97685,                0.60122,                 2.7748,                 1.0028,                 2.2453,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.8921,                 1.2372,                 2.1659,                0.93767,                0.91931,                0.97483,                0.59039,                 2.7851,                 1.0347,                 2.2555,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.8637,                 1.2223,                 2.1477,                0.95675,                0.93503,                0.97869,                0.58445,                 2.8271,                 1.0239,                 2.2712,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.8614,                 1.2447,                 2.1609,                0.94898,                0.94707,                0.98259,                0.60229,                 2.7799,                0.98219,                  2.253,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.8768,                 1.2045,                 2.1625,                0.95008,                0.95076,                0.98039,                0.60176,                 2.7755,                0.97163,                 2.2542,               0.000812,               0.000812,               0.000812
