                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4698,                0.95171,                 2.0267,                0.97182,                 0.9731,                0.98984,                0.61789,                 2.7881,                0.87399,                 2.2757,                0.00062,                0.00062,                0.00062
                      2,                 2.5194,                0.97167,                 2.0268,                0.97837,                0.95587,                0.98961,                 0.6058,                 2.8394,                0.91933,                 2.2924,              0.0012538,              0.0012538,              0.0012538
                      3,                 2.6172,                 1.0012,                 2.0457,                0.96832,                0.96061,                0.98875,                0.59942,                 2.8815,                0.95846,                 2.3195,              0.0018812,              0.0018812,              0.0018812
                      4,                 2.6497,                 1.0154,                 2.0832,                0.96633,                0.96502,                0.98885,                0.58902,                 2.9154,                0.95825,                 2.3266,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.6662,                 1.2072,                 2.0821,                0.96744,                0.96158,                0.98778,                0.60356,                 2.8589,                0.90928,                 2.3032,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.6153,                 1.0343,                  2.054,                0.97154,                0.95485,                0.98881,                0.59929,                 2.8864,                0.91451,                 2.3268,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.5653,                 1.0121,                 2.0695,                  0.971,                0.96477,                 0.9893,                0.59968,                 2.9025,                0.93545,                 2.3199,              0.0019406,              0.0019406,              0.0019406
                      8,                  2.575,                 1.0045,                 2.0474,                0.97752,                0.95581,                0.98728,                0.59813,                  2.884,                0.92031,                 2.3389,              0.0019307,              0.0019307,              0.0019307
                      9,                  2.573,                0.98975,                 2.0748,                 0.9727,                0.95845,                0.98882,                 0.6051,                 2.8379,                0.92835,                 2.3091,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.6046,                 1.0194,                 2.0697,                0.97645,                0.95572,                0.98844,                0.59275,                 2.8449,                 0.9121,                 2.3022,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.5525,                 1.5156,                 2.0488,                0.97167,                0.95532,                0.98754,                0.59207,                 2.9354,                0.93405,                 2.3238,               0.001901,               0.001901,               0.001901
                     12,                 2.6312,                 1.0148,                 2.0689,                0.96934,                0.96158,                0.98886,                0.60811,                 2.8338,                0.89523,                 2.2935,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.5691,                0.99018,                 2.0599,                 0.9784,                0.95734,                0.99019,                0.61674,                 2.7885,                0.89025,                 2.2813,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.5768,                 1.0004,                 2.0497,                0.97542,                0.95304,                0.98848,                0.59302,                  2.875,                0.93163,                 2.3175,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.5476,                0.98996,                 2.0505,                0.97739,                0.95527,                0.98785,                0.58695,                 2.9449,                0.92213,                 2.3372,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.5682,                0.99152,                 2.0638,                0.95782,                0.95977,                0.98578,                 0.5851,                  2.936,                0.97798,                 2.3401,              0.0018515,              0.0018515,              0.0018515
                     17,                  2.585,                 1.0008,                 2.0499,                 0.9699,                0.96061,                0.98713,                0.59135,                 2.9605,                0.95954,                 2.3682,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.5855,                 1.0049,                 2.0627,                0.97569,                0.95965,                0.98793,                0.60502,                 2.8601,                0.92118,                 2.3173,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.5965,                 1.0205,                 2.0637,                 0.9597,                 0.9731,                0.98954,                 0.6017,                 2.8642,                0.92067,                 2.3066,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.5443,                0.97695,                 2.0351,                 0.9778,                0.97118,                0.99091,                0.60685,                 2.8261,                0.90754,                 2.2972,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.5711,                0.97207,                  2.068,                0.96041,                0.95553,                0.98225,                0.58107,                 2.9679,                0.94381,                 2.3482,               0.001802,               0.001802,               0.001802
                     22,                 2.5072,                0.95667,                 2.0519,                0.97559,                0.96446,                 0.9898,                0.59866,                 2.9035,                0.90433,                 2.3152,              0.0017921,              0.0017921,              0.0017921
                     23,                 2.5552,                0.97688,                 2.0359,                0.97165,                0.97118,                0.99033,                0.60837,                 2.8194,                0.90269,                 2.2976,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.5274,                0.97209,                 2.0454,                0.96481,                0.97458,                0.99047,                0.60422,                 2.8476,                0.92246,                  2.306,              0.0017723,              0.0017723,              0.0017723
                     25,                 2.5123,                0.95807,                 2.0458,                0.97587,                0.96061,                0.98823,                0.59867,                  2.861,                0.92174,                 2.3288,              0.0017624,              0.0017624,              0.0017624
                     26,                 2.5307,                 0.9779,                 2.0386,                0.97481,                0.95677,                0.98882,                0.60922,                 2.8212,                 0.8936,                    2.3,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.4623,                0.95417,                   2.01,                0.96757,                0.96542,                0.98903,                0.61131,                 2.8326,                0.89796,                 2.3004,              0.0017426,              0.0017426,              0.0017426
                     28,                 2.5288,                0.97459,                 2.0455,                0.98425,                 0.9607,                0.99023,                0.61356,                 2.8345,                0.88776,                 2.2918,              0.0017327,              0.0017327,              0.0017327
                     29,                 2.4993,                0.95617,                 2.0325,                 0.9654,                0.96493,                0.98871,                0.59275,                  2.931,                0.92166,                 2.3487,              0.0017228,              0.0017228,              0.0017228
                     30,                  2.516,                0.97552,                 2.0462,                0.95532,                0.96541,                 0.9868,                0.60321,                 2.8864,                0.90031,                 2.3334,              0.0017129,              0.0017129,              0.0017129
                     31,                  2.504,                0.95078,                 2.0393,                0.97061,                0.96734,                0.98886,                0.60557,                 2.8075,                0.89924,                 2.2777,               0.001703,               0.001703,               0.001703
                     32,                 2.4704,                0.95125,                 2.0289,                0.97744,                0.95747,                0.98826,                0.60796,                 2.8285,                0.93992,                 2.2883,              0.0016931,              0.0016931,              0.0016931
                     33,                 2.5371,                0.98212,                 2.0538,                0.97096,                0.96372,                0.98736,                0.60923,                 2.8504,                0.90031,                 2.3175,              0.0016832,              0.0016832,              0.0016832
                     34,                 2.4884,                0.94947,                 2.0322,                0.97302,                0.96998,                0.98846,                0.60999,                 2.8293,                0.89003,                 2.3005,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.4932,                0.94652,                 2.0473,                0.98558,                0.95101,                0.98872,                0.61078,                 2.8401,                0.90832,                 2.3034,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.4706,                0.96355,                 2.0321,                  0.968,                0.96638,                0.98856,                0.60054,                 2.8662,                0.89825,                 2.3018,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.4805,                 0.9513,                 2.0286,                0.96121,                0.97214,                0.98915,                0.58774,                 2.9233,                0.91573,                 2.3325,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.4512,                0.93351,                 2.0019,                0.96245,                0.96026,                0.98713,                0.60675,                 2.8334,                 0.8946,                  2.294,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.4666,                0.94211,                 2.0224,                0.97358,                0.95584,                0.98866,                0.60646,                 2.8603,                 0.9048,                 2.3097,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.4171,                0.93108,                 2.0137,                0.97377,                0.96284,                0.98923,                 0.6103,                 2.8325,                0.88732,                 2.3096,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.3999,                 0.9224,                 2.0005,                0.98198,                0.94909,                0.98947,                0.61667,                 2.7967,                0.89389,                 2.2824,               0.001604,               0.001604,               0.001604
                     42,                   2.42,                0.92784,                 2.0331,                0.95905,                0.97406,                0.98822,                0.61083,                   2.85,                 0.9084,                 2.3216,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.4884,                0.96249,                 2.0143,                0.96733,                0.96158,                0.98775,                0.60215,                 2.8454,                0.91288,                 2.3003,              0.0015842,              0.0015842,              0.0015842
                     44,                 2.4255,                0.92871,                 2.0279,                0.97671,                0.96672,                0.98987,                0.61113,                 2.8533,                0.91275,                 2.3034,              0.0015743,              0.0015743,              0.0015743
