                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.7996,                 1.2283,                  2.138,                0.93928,                0.92411,                0.97957,                0.59281,                 2.7987,                 1.0158,                   2.26,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.7918,                 1.2002,                 2.1496,                0.93091,                0.93276,                0.97617,                0.59689,                 2.7953,                 1.0214,                 2.2578,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.7611,                 1.1869,                 2.1088,                0.92798,                0.93564,                0.97792,                0.60103,                 2.7479,                 1.0092,                 2.2475,               0.000614,               0.000614,               0.000614
                     37,                  2.749,                 1.1616,                 2.1276,                0.94731,                0.94044,                0.97939,                0.59382,                 2.8171,                0.99433,                 2.2788,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.7924,                 1.1733,                 2.1308,                0.94169,                0.93948,                0.98236,                0.60121,                  2.752,                 0.9881,                 2.2445,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.7461,                 1.1561,                 2.1134,                0.94205,                0.93693,                0.97973,                0.58713,                 2.8229,                  1.001,                 2.2771,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.7473,                 1.1423,                 2.1059,                0.95612,                0.94189,                0.98174,                0.60355,                 2.7346,                0.96755,                 2.2384,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.6515,                 1.0744,                 2.1807,                0.95141,                0.94428,                0.98013,                0.59323,                 2.7963,                0.98805,                 2.2627,               0.000416,               0.000416,               0.000416
                     42,                 2.6557,                 1.2145,                 2.1886,                0.94278,                0.93852,                0.97911,                0.59525,                 2.7874,                0.97891,                 2.2599,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.6989,                 1.0843,                 2.2142,                 0.9467,                0.94909,                0.98055,                0.60095,                 2.7716,                0.96976,                 2.2472,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.6459,                 1.0821,                 2.1874,                0.96083,                0.94263,                0.98306,                0.60513,                  2.754,                 0.9574,                 2.2387,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.5895,                 1.0329,                 2.1723,                 0.9405,                0.94717,                0.98306,                0.60954,                 2.7249,                0.95479,                 2.2307,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.5915,                 1.0224,                 2.1605,                0.95793,                0.94236,                0.98378,                0.60488,                 2.7468,                0.95514,                 2.2418,               0.000218,               0.000218,               0.000218
                     47,                 2.5674,                  1.042,                 2.1825,                0.94751,                0.95005,                0.98309,                0.60281,                 2.7574,                0.96402,                 2.2422,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.5891,                 1.0389,                 2.1202,                0.95544,                0.95197,                0.98495,                0.60631,                 2.7666,                0.94699,                 2.2433,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.5855,                 1.0202,                 2.1917,                0.95592,                0.94909,                0.98459,                0.60766,                 2.7291,                0.95127,                 2.2323,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.5174,                0.99757,                 2.1441,                0.94851,                0.93794,                0.98304,                0.61075,                 2.7163,                0.95106,                 2.2279,               5.96e-05,               5.96e-05,               5.96e-05
