epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,858.162,2.83227,1.13877,2.14642,0.97309,0.93781,0.98037,0.6006,2.80668,0.9457,2.25138,0.0015941,0.0015941,0.0015941
43,878.001,2.851,1.16315,2.21088,0.95847,0.95326,0.98154,0.60601,2.74253,0.95262,2.24514,0.0015842,0.0015842,0.0015842
44,897.863,2.84081,1.13188,2.19094,0.96498,0.95293,0.98334,0.58835,2.8001,0.94713,2.26001,0.0015743,0.0015743,0.0015743
45,917.423,2.80239,1.1254,2.18327,0.97433,0.94811,0.98517,0.60849,2.78599,0.91625,2.24533,0.0015644,0.0015644,0.0015644
46,936.962,2.78742,1.11032,2.1768,0.96107,0.94854,0.98162,0.60587,2.77012,0.90666,2.24076,0.0015545,0.0015545,0.0015545
47,956.76,2.85774,1.16114,2.21228,0.96117,0.95101,0.97989,0.60338,2.79454,0.92005,2.26115,0.0015446,0.0015446,0.0015446
48,976.411,2.86259,1.13548,2.17468,0.96017,0.94949,0.98043,0.59231,2.81733,0.94658,2.26471,0.0015347,0.0015347,0.0015347
49,996.079,2.80561,1.11986,2.1617,0.96795,0.94909,0.98407,0.60297,2.75405,0.91477,2.24171,0.0015248,0.0015248,0.0015248
50,1015.48,2.79804,1.11428,2.16708,0.96195,0.94705,0.98547,0.60875,2.76443,0.92173,2.24327,0.0015149,0.0015149,0.0015149
51,1035.17,2.78652,1.11466,2.15986,0.95497,0.95581,0.98593,0.61184,2.75803,0.91343,2.239,0.001505,0.001505,0.001505
52,1054.78,2.7962,1.10534,2.18018,0.95917,0.94783,0.98104,0.60966,2.79717,0.90947,2.25318,0.0014951,0.0014951,0.0014951
53,1074.36,2.77314,1.10432,2.16686,0.9675,0.94374,0.98244,0.60947,2.76424,0.91572,2.25006,0.0014852,0.0014852,0.0014852
54,1094.11,2.76136,1.08899,2.149,0.96027,0.95581,0.98515,0.6103,2.77436,0.91571,2.25513,0.0014753,0.0014753,0.0014753
55,1113.8,2.77221,1.08567,2.15275,0.9678,0.95278,0.98142,0.60681,2.79276,0.9218,2.258,0.0014654,0.0014654,0.0014654
56,1133.43,2.7602,1.081,2.18472,0.96972,0.95359,0.98204,0.61013,2.77029,0.90677,2.24399,0.0014555,0.0014555,0.0014555
57,1153.06,2.79717,1.10264,2.14201,0.9677,0.95485,0.98597,0.60835,2.80478,0.90701,2.25391,0.0014456,0.0014456,0.0014456
58,1172.47,2.74255,1.07411,2.14583,0.97409,0.94332,0.98232,0.60703,2.79333,0.90942,2.26024,0.0014357,0.0014357,0.0014357
59,1192.03,2.7537,1.07927,2.16331,0.96166,0.95869,0.98283,0.60071,2.76667,0.90378,2.24829,0.0014258,0.0014258,0.0014258
60,1211.61,2.72464,1.06741,2.15572,0.96243,0.95976,0.98608,0.61685,2.7814,0.88852,2.25114,0.0014159,0.0014159,0.0014159
61,1231.03,2.73546,1.0728,2.14766,0.96866,0.95004,0.98515,0.60485,2.75391,0.91201,2.25187,0.001406,0.001406,0.001406
62,1250.62,2.75429,1.08069,2.1723,0.95857,0.95389,0.98584,0.60799,2.83232,0.93509,2.2795,0.0013961,0.0013961,0.0013961
63,1270.3,2.73419,1.07474,2.14079,0.96698,0.95677,0.9853,0.60944,2.75111,0.9063,2.24436,0.0013862,0.0013862,0.0013862
64,1290.03,2.77511,1.0894,2.16553,0.97249,0.95089,0.9862,0.60962,2.7556,0.9051,2.2458,0.0013763,0.0013763,0.0013763
