epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9407,3.52038,4.97124,2.30686,0.08678,0.75024,0.60344,0.31438,3.21739,4.92425,2.09906,0.000656085,0.000656085,0.000656085
2,60.478,3.23568,2.56189,2.19871,0.71829,0.64265,0.73987,0.38779,3.28695,2.59878,2.28052,0.00129656,0.00129656,0.00129656
3,73.3227,3.14136,2.31269,2.20508,0.72645,0.72142,0.7954,0.42786,3.04456,2.40995,2.26906,0.00191064,0.00191064,0.00191064
4,86.2707,3.13342,2.07355,2.21256,0.72801,0.79347,0.82646,0.44437,2.99321,2.02745,2.28715,0.0018812,0.0018812,0.0018812
5,99.3212,3.1759,1.93469,2.21912,0.74037,0.82453,0.84835,0.47341,2.89781,1.97027,2.27773,0.0018416,0.0018416,0.0018416
6,112.019,3.12906,1.89305,2.22054,0.7823,0.81748,0.87554,0.49897,2.89861,1.7464,2.28734,0.001802,0.001802,0.001802
7,124.861,3.11281,1.8389,2.22209,0.83075,0.82983,0.9045,0.51183,2.92122,1.66063,2.27804,0.0017624,0.0017624,0.0017624
8,137.68,3.06472,1.76372,2.21863,0.83892,0.86551,0.92184,0.53524,2.85595,1.44094,2.26794,0.0017228,0.0017228,0.0017228
9,150.38,3.01475,1.66564,2.18478,0.86221,0.85955,0.93294,0.54154,2.8707,1.35949,2.26228,0.0016832,0.0016832,0.0016832
10,163.278,3.01821,1.59236,2.19252,0.87318,0.85984,0.9359,0.5379,2.86955,1.37342,2.28445,0.0016436,0.0016436,0.0016436
11,175.962,3.04481,1.60157,2.21181,0.89396,0.85841,0.94094,0.53726,2.95789,1.36395,2.31169,0.001604,0.001604,0.001604
12,188.877,3.07694,1.5396,2.22596,0.88693,0.90424,0.94818,0.5392,2.88633,1.31697,2.31295,0.0015644,0.0015644,0.0015644
13,201.587,3.00663,1.52515,2.20161,0.90021,0.89337,0.95214,0.56474,2.8252,1.23685,2.25251,0.0015248,0.0015248,0.0015248
14,214.211,2.97151,1.42856,2.17994,0.92775,0.90045,0.95989,0.56955,2.83175,1.19236,2.28536,0.0014852,0.0014852,0.0014852
15,227.092,2.99307,1.43918,2.20379,0.90959,0.92123,0.96363,0.57574,2.80963,1.15182,2.25357,0.0014456,0.0014456,0.0014456
16,239.901,2.98703,1.42922,2.19473,0.92387,0.92095,0.97006,0.5706,2.83892,1.15589,2.28325,0.001406,0.001406,0.001406
17,252.777,2.93874,1.39731,2.19252,0.92708,0.92813,0.96779,0.57128,2.85749,1.12104,2.28833,0.0013664,0.0013664,0.0013664
18,265.872,2.96949,1.36306,2.17653,0.92978,0.91354,0.97017,0.58265,2.84704,1.11045,2.27781,0.0013268,0.0013268,0.0013268
19,278.828,2.9527,1.3502,2.1745,0.93087,0.92315,0.97322,0.59242,2.79863,1.07412,2.25503,0.0012872,0.0012872,0.0012872
20,291.843,2.92958,1.35174,2.17864,0.959,0.92132,0.97423,0.58455,2.84994,1.07797,2.28431,0.0012476,0.0012476,0.0012476
21,304.429,2.90273,1.31017,2.17647,0.94691,0.92529,0.97483,0.58203,2.85739,1.08401,2.28842,0.001208,0.001208,0.001208
22,317.349,2.9136,1.29949,2.17763,0.95741,0.92411,0.97632,0.58321,2.84447,1.0811,2.28212,0.0011684,0.0011684,0.0011684
23,329.835,2.87518,1.25883,2.19892,0.95792,0.93852,0.98221,0.5837,2.85022,1.02417,2.28471,0.0011288,0.0011288,0.0011288
24,342.656,2.87949,1.24496,2.17417,0.94581,0.93889,0.97281,0.58472,2.84058,1.04477,2.28301,0.0010892,0.0010892,0.0010892
25,355.494,2.88082,1.23987,2.1643,0.95963,0.91931,0.97211,0.58703,2.86353,1.04267,2.2785,0.0010496,0.0010496,0.0010496
26,368.418,2.87379,1.24493,2.17641,0.95492,0.92891,0.97802,0.5937,2.79639,1.04644,2.25389,0.00101,0.00101,0.00101
27,381.09,2.80691,1.19425,2.16091,0.96548,0.94023,0.9817,0.5888,2.82277,0.98751,2.27161,0.0009704,0.0009704,0.0009704
28,393.744,2.85252,1.21476,2.16844,0.9577,0.93529,0.98305,0.60079,2.80343,0.98711,2.25982,0.0009308,0.0009308,0.0009308
29,406.537,2.83491,1.35658,2.15318,0.95392,0.93472,0.98162,0.60543,2.78938,0.97907,2.24196,0.0008912,0.0008912,0.0008912
30,419.27,2.81597,1.18796,2.16254,0.95888,0.94621,0.98273,0.60451,2.78715,0.9728,2.2535,0.0008516,0.0008516,0.0008516
31,431.866,2.81957,1.18057,2.17356,0.96423,0.93221,0.97794,0.60837,2.77309,0.97354,2.24723,0.000812,0.000812,0.000812
32,444.889,2.85697,1.17712,2.16197,0.96441,0.94044,0.98216,0.60319,2.7883,0.97872,2.24273,0.0007724,0.0007724,0.0007724
33,457.679,2.79795,1.2082,2.14404,0.96326,0.93178,0.97699,0.60276,2.76187,0.97143,2.24561,0.0007328,0.0007328,0.0007328
34,470.481,2.81845,1.17823,2.14075,0.9636,0.92988,0.97789,0.60503,2.79715,0.96162,2.26174,0.0006932,0.0006932,0.0006932
35,483.182,2.75232,1.13285,2.11551,0.95989,0.94248,0.98166,0.60733,2.78632,0.96011,2.24897,0.0006536,0.0006536,0.0006536
36,495.695,2.77087,1.14772,2.13614,0.97192,0.92507,0.97955,0.60095,2.81786,0.95558,2.26279,0.000614,0.000614,0.000614
37,508.586,2.76663,1.13326,2.12111,0.9575,0.9522,0.98196,0.60792,2.78963,0.9541,2.25719,0.0005744,0.0005744,0.0005744
38,521.397,2.7889,1.14421,2.12743,0.94885,0.94236,0.97802,0.60743,2.78124,0.96886,2.25604,0.0005348,0.0005348,0.0005348
39,533.957,2.75611,1.12031,2.11395,0.9477,0.95738,0.9806,0.6108,2.78096,0.94197,2.2465,0.0004952,0.0004952,0.0004952
40,546.857,2.76985,1.12655,2.12827,0.95974,0.93897,0.98268,0.60993,2.76289,0.94694,2.24466,0.0004556,0.0004556,0.0004556
41,559.904,2.6268,1.04442,2.1747,0.95212,0.94524,0.9812,0.60087,2.8219,0.96195,2.26754,0.000416,0.000416,0.000416
42,572.422,2.63025,1.05636,2.18579,0.96126,0.92961,0.98281,0.60757,2.78605,0.95207,2.24794,0.0003764,0.0003764,0.0003764
43,584.608,2.63449,1.02247,2.19781,0.95112,0.93468,0.98067,0.60839,2.76423,0.95231,2.24699,0.0003368,0.0003368,0.0003368
44,597.015,2.64662,1.03855,2.16945,0.9526,0.94587,0.98107,0.61095,2.7487,0.93554,2.24064,0.0002972,0.0002972,0.0002972
45,609.407,2.57842,1.00659,2.15745,0.95438,0.94454,0.98051,0.61353,2.74516,0.92482,2.23692,0.0002576,0.0002576,0.0002576
46,621.715,2.57701,0.99503,2.16323,0.96475,0.93948,0.98413,0.61023,2.77757,0.92153,2.25012,0.000218,0.000218,0.000218
47,633.911,2.57026,1.01381,2.17446,0.95958,0.95869,0.9824,0.61468,2.77336,0.91188,2.24562,0.0001784,0.0001784,0.0001784
48,646.268,2.5587,0.99152,2.16137,0.96531,0.95005,0.98401,0.61562,2.75887,0.91561,2.24358,0.0001388,0.0001388,0.0001388
49,658.73,2.55071,0.99024,2.16749,0.96671,0.94835,0.98299,0.61767,2.75378,0.91537,2.24231,9.92e-05,9.92e-05,9.92e-05
50,671.143,2.56299,0.98635,2.16724,0.96436,0.9414,0.98267,0.61587,2.75526,0.9198,2.24621,5.96e-05,5.96e-05,5.96e-05
