epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7633,3.52038,4.97124,2.30686,0.08678,0.75024,0.60344,0.31438,3.21739,4.92425,2.09906,0.000656085,0.000656085,0.000656085
2,61.332,3.2304,2.55779,2.19692,0.70459,0.6484,0.73607,0.38815,3.23977,2.59624,2.26688,0.00130966,0.00130966,0.00130966
3,74.3549,3.17064,2.32991,2.21861,0.71365,0.73007,0.79573,0.43228,2.99673,2.37438,2.27662,0.00195003,0.00195003,0.00195003
4,87.6563,3.13637,2.07623,2.21937,0.74875,0.79443,0.82813,0.44245,2.97428,1.89027,2.3019,0.0019406,0.0019406,0.0019406
5,100.598,3.23744,1.97958,2.24505,0.7345,0.81584,0.84673,0.46662,2.94581,1.94148,2.27397,0.0019208,0.0019208,0.0019208
6,113.889,3.14615,1.93826,2.22769,0.82041,0.81625,0.88858,0.51332,2.86014,1.85545,2.25149,0.001901,0.001901,0.001901
7,126.758,3.17834,1.8666,2.24878,0.81053,0.83958,0.88959,0.49281,2.93253,1.7955,2.27702,0.0018812,0.0018812,0.0018812
8,139.871,3.10754,1.8032,2.22968,0.83968,0.84024,0.91745,0.52843,2.89782,1.47002,2.27218,0.0018614,0.0018614,0.0018614
9,152.688,3.03024,1.67214,2.18871,0.86526,0.85747,0.93592,0.54108,2.86898,1.39662,2.27272,0.0018416,0.0018416,0.0018416
10,165.698,3.04101,1.59616,2.20468,0.89222,0.88267,0.94596,0.55246,2.86375,1.30593,2.28005,0.0018218,0.0018218,0.0018218
11,178.77,3.04313,1.57412,2.21347,0.91023,0.87666,0.94743,0.54345,2.96833,1.28377,2.3206,0.001802,0.001802,0.001802
12,191.661,3.09637,1.5318,2.23141,0.91426,0.89118,0.94009,0.51114,3.06277,1.27428,2.39051,0.0017822,0.0017822,0.0017822
13,204.52,3.10811,1.54882,2.23885,0.90147,0.88377,0.94401,0.53318,2.97966,1.24526,2.30108,0.0017624,0.0017624,0.0017624
14,217.2,2.98031,1.44467,2.19074,0.92496,0.89986,0.95919,0.56736,2.85103,1.16508,2.28839,0.0017426,0.0017426,0.0017426
15,229.983,3.01255,1.43949,2.21376,0.916,0.91354,0.96153,0.57029,2.85575,1.16409,2.27517,0.0017228,0.0017228,0.0017228
16,242.973,3.02764,1.44111,2.2178,0.93111,0.92507,0.96896,0.57157,2.85307,1.11772,2.28011,0.001703,0.001703,0.001703
17,255.821,2.97662,1.38689,2.21299,0.93963,0.91197,0.96652,0.57021,2.87133,1.12468,2.30379,0.0016832,0.0016832,0.0016832
18,268.928,2.99579,1.357,2.19287,0.95307,0.91694,0.97256,0.58654,2.84872,1.08704,2.28389,0.0016634,0.0016634,0.0016634
19,281.79,2.96027,1.34516,2.18582,0.92363,0.94103,0.97756,0.58426,2.83249,1.07123,2.27539,0.0016436,0.0016436,0.0016436
20,294.71,2.97468,1.36173,2.1995,0.94617,0.93756,0.97578,0.58703,2.8429,1.067,2.28115,0.0016238,0.0016238,0.0016238
21,307.407,2.93147,1.29812,2.18911,0.95864,0.91739,0.97136,0.57881,2.88199,1.05468,2.29692,0.001604,0.001604,0.001604
22,320.08,2.95982,1.30014,2.19628,0.96089,0.92054,0.97548,0.58811,2.81454,1.04516,2.27372,0.0015842,0.0015842,0.0015842
23,332.679,2.93063,1.25547,2.22047,0.9517,0.94646,0.97935,0.58278,2.89245,1.04166,2.30268,0.0015644,0.0015644,0.0015644
24,345.437,2.90643,1.24219,2.19099,0.94929,0.93506,0.97165,0.58196,2.82268,1.05224,2.28031,0.0015446,0.0015446,0.0015446
25,358.206,2.9168,1.24514,2.18341,0.95322,0.93956,0.97398,0.57931,2.91301,1.03907,2.29532,0.0015248,0.0015248,0.0015248
26,371.298,2.92051,1.26451,2.19893,0.94265,0.93084,0.97279,0.58156,2.83077,1.07102,2.28062,0.001505,0.001505,0.001505
27,383.908,2.8725,1.2045,2.19138,0.94966,0.94044,0.97847,0.58377,2.88018,1.0276,2.30616,0.0014852,0.0014852,0.0014852
28,396.701,2.90295,1.2161,2.1907,0.96344,0.93659,0.98007,0.5981,2.81735,1.01113,2.26176,0.0014654,0.0014654,0.0014654
29,409.386,2.87513,1.39704,2.16858,0.96336,0.94717,0.98437,0.60367,2.76264,0.97213,2.24276,0.0014456,0.0014456,0.0014456
30,421.908,2.85208,1.20536,2.17875,0.95143,0.94088,0.97642,0.58315,2.86729,1.00713,2.29423,0.0014258,0.0014258,0.0014258
31,434.534,2.87475,1.19646,2.1977,0.96386,0.94798,0.98098,0.60022,2.80575,0.97096,2.25574,0.001406,0.001406,0.001406
32,447.391,2.86865,1.17285,2.17218,0.94878,0.94311,0.9783,0.5963,2.78932,0.99007,2.26298,0.0013862,0.0013862,0.0013862
33,460.182,2.84378,1.21423,2.16763,0.96065,0.93817,0.98126,0.59697,2.80731,0.98636,2.26572,0.0013664,0.0013664,0.0013664
34,472.984,2.88842,1.20043,2.16882,0.95723,0.94593,0.97683,0.58947,2.8358,0.98758,2.27839,0.0013466,0.0013466,0.0013466
35,485.515,2.85948,1.15298,2.15409,0.95468,0.95109,0.97666,0.58696,2.86829,0.98853,2.29171,0.0013268,0.0013268,0.0013268
36,498.349,2.87853,1.16998,2.17598,0.95995,0.94524,0.97896,0.59642,2.83522,0.95582,2.26902,0.001307,0.001307,0.001307
37,511.349,2.84075,1.15344,2.15137,0.96996,0.93948,0.97783,0.59909,2.79345,0.97437,2.26191,0.0012872,0.0012872,0.0012872
38,524.293,2.83441,1.15113,2.14499,0.9762,0.95389,0.98453,0.60043,2.80878,0.94839,2.2654,0.0012674,0.0012674,0.0012674
39,537.113,2.80493,1.12281,2.13537,0.96532,0.93597,0.98165,0.60376,2.80848,0.95627,2.26321,0.0012476,0.0012476,0.0012476
40,549.902,2.81035,1.12866,2.14913,0.96394,0.94999,0.9855,0.60204,2.84071,0.97074,2.28027,0.0012278,0.0012278,0.0012278
41,562.872,2.83881,1.15381,2.16605,0.96758,0.94428,0.98095,0.60238,2.81018,0.96045,2.26149,0.001208,0.001208,0.001208
42,575.908,2.84908,1.16508,2.11602,0.97295,0.93305,0.97871,0.5979,2.79605,0.95452,2.26617,0.0011882,0.0011882,0.0011882
43,588.767,2.81221,1.13982,2.17625,0.96379,0.94813,0.98194,0.60142,2.80685,0.9634,2.26823,0.0011684,0.0011684,0.0011684
44,601.623,2.82241,1.12949,2.14675,0.96118,0.94813,0.9806,0.60404,2.81195,0.96323,2.26874,0.0011486,0.0011486,0.0011486
45,614.572,2.81289,1.13748,2.15569,0.9574,0.95003,0.98304,0.59558,2.85159,0.96768,2.28437,0.0011288,0.0011288,0.0011288
46,627.492,2.76131,1.09643,2.14671,0.9729,0.95005,0.98406,0.60731,2.76211,0.93631,2.24367,0.001109,0.001109,0.001109
47,639.995,2.72721,1.12837,2.1441,0.96328,0.95101,0.98022,0.60231,2.78943,0.94836,2.26105,0.0010892,0.0010892,0.0010892
48,652.701,2.78725,1.1236,2.14256,0.9621,0.95581,0.98412,0.60804,2.77328,0.9319,2.26231,0.0010694,0.0010694,0.0010694
49,665.448,2.78322,1.11559,2.12606,0.96003,0.95773,0.98452,0.60908,2.78195,0.93524,2.26021,0.0010496,0.0010496,0.0010496
50,678.4,2.77529,1.11734,2.10534,0.96365,0.94229,0.98052,0.60681,2.76129,0.94165,2.25366,0.0010298,0.0010298,0.0010298
51,691.174,2.77021,1.11702,2.12546,0.96159,0.94621,0.98585,0.61207,2.78906,0.93283,2.25444,0.00101,0.00101,0.00101
52,703.909,2.79701,1.10202,2.13896,0.97259,0.94332,0.98492,0.61503,2.74118,0.92692,2.24188,0.0009902,0.0009902,0.0009902
53,716.678,2.76923,1.09564,2.1629,0.96784,0.94909,0.98526,0.6119,2.76996,0.93584,2.25653,0.0009704,0.0009704,0.0009704
54,729.194,2.71081,1.07285,2.11391,0.97417,0.94179,0.98449,0.6048,2.76195,0.92986,2.24765,0.0009506,0.0009506,0.0009506
55,741.909,2.73252,1.07791,2.12686,0.96463,0.95485,0.98613,0.61382,2.77702,0.92281,2.2663,0.0009308,0.0009308,0.0009308
56,754.257,2.67737,1.04466,2.11807,0.96567,0.95389,0.98673,0.61261,2.76489,0.92691,2.25385,0.000911,0.000911,0.000911
57,766.907,2.76947,1.31379,2.13631,0.96466,0.95965,0.9836,0.61118,2.77744,0.90628,2.24822,0.0008912,0.0008912,0.0008912
58,779.681,2.7776,1.09052,2.12563,0.94764,0.95626,0.98237,0.59782,2.83697,0.9544,2.2889,0.0008714,0.0008714,0.0008714
59,792.201,2.72043,1.07009,2.12743,0.9603,0.95485,0.98208,0.60919,2.77468,0.92681,2.26057,0.0008516,0.0008516,0.0008516
60,805.027,2.70379,1.06535,2.11394,0.96452,0.95389,0.98673,0.62159,2.7416,0.91615,2.23693,0.0008318,0.0008318,0.0008318
61,817.844,2.70119,1.06881,2.10779,0.96782,0.95353,0.98762,0.61879,2.7457,0.8988,2.24633,0.000812,0.000812,0.000812
62,830.439,2.69434,1.05799,2.13122,0.96683,0.94621,0.9845,0.61306,2.79319,0.91779,2.2634,0.0007922,0.0007922,0.0007922
63,843.361,2.72074,1.07344,2.10705,0.96384,0.95773,0.98555,0.60795,2.77092,0.90188,2.25624,0.0007724,0.0007724,0.0007724
64,855.921,2.67914,1.04621,2.12775,0.96719,0.97118,0.98816,0.61242,2.77344,0.90308,2.25414,0.0007526,0.0007526,0.0007526
65,868.772,2.6927,1.05367,2.0832,0.97521,0.95869,0.98717,0.61854,2.73349,0.88646,2.24264,0.0007328,0.0007328,0.0007328
66,881.321,2.65166,1.0321,2.09103,0.96806,0.95965,0.98774,0.61856,2.75077,0.88958,2.25964,0.000713,0.000713,0.000713
67,893.943,2.66182,1.03446,2.08265,0.97071,0.96542,0.98592,0.61439,2.76481,0.89521,2.25783,0.0006932,0.0006932,0.0006932
68,906.829,2.66514,1.0418,2.09281,0.96236,0.95788,0.98477,0.614,2.78042,0.90106,2.26072,0.0006734,0.0006734,0.0006734
69,919.576,2.62925,1.04082,2.08311,0.96341,0.95581,0.98735,0.61137,2.79312,0.90892,2.26865,0.0006536,0.0006536,0.0006536
70,932.541,2.65544,1.09148,2.08373,0.96243,0.9598,0.98498,0.6138,2.77694,0.90026,2.26474,0.0006338,0.0006338,0.0006338
71,945.202,2.6263,1.02433,2.09232,0.96894,0.95293,0.98401,0.61773,2.75082,0.89004,2.25113,0.000614,0.000614,0.000614
72,958.235,2.61439,1.03126,2.06144,0.97565,0.94813,0.98595,0.61336,2.76909,0.89041,2.25466,0.0005942,0.0005942,0.0005942
73,971.096,2.62947,1.02438,2.09156,0.96422,0.95773,0.98375,0.62087,2.73259,0.89448,2.24668,0.0005744,0.0005744,0.0005744
74,984.135,2.65153,1.06604,2.06427,0.96602,0.96254,0.98502,0.6197,2.76377,0.88776,2.25708,0.0005546,0.0005546,0.0005546
75,996.823,2.59279,1.01306,2.10009,0.96864,0.95773,0.98581,0.61439,2.75638,0.90119,2.25957,0.0005348,0.0005348,0.0005348
76,1009.99,2.66762,1.03594,2.07841,0.96981,0.95668,0.98634,0.62189,2.71734,0.88401,2.23662,0.000515,0.000515,0.000515
77,1022.73,2.58003,0.99787,2.06831,0.97745,0.95784,0.98819,0.61735,2.74904,0.89056,2.24843,0.0004952,0.0004952,0.0004952
78,1035.55,2.58771,1.00292,2.07826,0.97866,0.95389,0.98643,0.61422,2.77454,0.90436,2.27103,0.0004754,0.0004754,0.0004754
79,1048.49,2.57689,1.01308,2.06843,0.97181,0.95293,0.98719,0.62608,2.72158,0.88683,2.24368,0.0004556,0.0004556,0.0004556
80,1061.63,2.6069,1.01561,2.08042,0.97634,0.95156,0.98639,0.62501,2.72304,0.8796,2.2396,0.0004358,0.0004358,0.0004358
81,1074.27,2.55766,0.99182,2.05716,0.97385,0.96606,0.98754,0.62165,2.7182,0.87948,2.24138,0.000416,0.000416,0.000416
82,1087.11,2.55174,0.99834,2.05292,0.96377,0.96542,0.98813,0.62032,2.74159,0.88221,2.24973,0.0003962,0.0003962,0.0003962
83,1100.11,2.59587,1.00485,2.05408,0.96996,0.9615,0.98735,0.61951,2.74097,0.88447,2.25029,0.0003764,0.0003764,0.0003764
84,1112.91,2.50346,0.96874,2.05612,0.96519,0.96254,0.98818,0.62197,2.73188,0.87819,2.25068,0.0003566,0.0003566,0.0003566
85,1125.92,2.57634,0.99393,2.06061,0.97547,0.95509,0.98595,0.62398,2.74169,0.88595,2.25019,0.0003368,0.0003368,0.0003368
86,1138.95,2.57184,1.00285,2.0506,0.97155,0.95389,0.98647,0.6228,2.73379,0.88214,2.24113,0.000317,0.000317,0.000317
87,1151.59,2.5367,0.98282,2.06607,0.96338,0.96029,0.98573,0.6139,2.75299,0.89194,2.25761,0.0002972,0.0002972,0.0002972
88,1164.41,2.52715,0.97907,2.03333,0.96538,0.96419,0.9877,0.62178,2.74246,0.88179,2.25617,0.0002774,0.0002774,0.0002774
89,1176.97,2.57316,0.9967,2.06297,0.96491,0.95869,0.98649,0.6177,2.75335,0.88685,2.25713,0.0002576,0.0002576,0.0002576
90,1189.91,2.52355,0.98278,2.02987,0.97644,0.95534,0.98847,0.62673,2.72866,0.87335,2.24452,0.0002378,0.0002378,0.0002378
91,1202.93,2.42008,0.90479,2.1162,0.96498,0.96542,0.9876,0.62143,2.74409,0.88524,2.25832,0.000218,0.000218,0.000218
92,1215.42,2.41573,0.89477,2.09004,0.96887,0.95581,0.98769,0.62055,2.73078,0.88532,2.25221,0.0001982,0.0001982,0.0001982
93,1227.92,2.40512,0.89011,2.0969,0.97927,0.95316,0.98741,0.62278,2.74094,0.87579,2.25485,0.0001784,0.0001784,0.0001784
94,1240.19,2.38167,0.88108,2.08097,0.97698,0.96542,0.98813,0.62121,2.76102,0.871,2.26011,0.0001586,0.0001586,0.0001586
95,1252.52,2.37515,0.88063,2.0878,0.96822,0.96585,0.98787,0.6228,2.73321,0.87369,2.24805,0.0001388,0.0001388,0.0001388
96,1264.88,2.35752,0.8706,2.11717,0.97743,0.96061,0.98809,0.628,2.73057,0.86881,2.24847,0.000119,0.000119,0.000119
97,1277.22,2.36762,0.88232,2.08376,0.97051,0.96734,0.98819,0.62587,2.72789,0.86745,2.24922,9.92e-05,9.92e-05,9.92e-05
98,1289.56,2.35972,0.87146,2.09555,0.96959,0.96734,0.98875,0.62785,2.72956,0.86737,2.2536,7.94e-05,7.94e-05,7.94e-05
